,MMblack,MMgreen,MMturquoise,MMyellow,MMpurple,MMred,MMmagenta,MMpink,MMblue,MMbrown
AIPGENE22408,-0.0720048971771054,0.286075982215007,-0.146652982502647,-0.144764741981084,0.00374487064109837,-0.00165626580840839,-0.102807700149486,-0.0237628156043224,0.00337273323641496,0.481950882146941
AIPGENE2241,-0.0649973400840671,-0.0786717370119688,-0.0675948778545647,0.00655320286841669,0.0416713408104345,0.12515128811808,0.0198148575617285,0.0445332266082426,0.0670664326424726,0.0035068892162258
AIPGENE22412,-0.0237726435202052,-0.132466646265983,-0.254915091543515,-0.119619744945433,-0.168478793065569,-0.0273566797733431,0.237080522431763,0.413151538609299,0.27655438413253,0.0271099319164243
AIPGENE22416,0.660016300518372,-0.0600031370648902,-0.279053727182866,-0.736740472559411,-0.822431096033968,-0.531025365726026,0.148698929867914,0.407032903131363,0.3936620833771,0.125247549789702
AIPGENE22420,0.180395389716008,0.373985368336241,0.514176367495527,0.202315976877268,-0.209019783617369,-0.398465658574124,0.307303712633793,-0.0489220881646814,-0.420754478954294,-0.478940638520716
AIPGENE22423,0.0208315830150688,-0.494883077341511,-0.295801864995537,-0.185439933253574,-0.029632337075316,0.178322593637171,-0.397613217936317,-0.207774410504827,0.275315201024693,0.396512422222212
AIPGENE22427,-0.335537401464493,-0.0705913104892734,-0.392545330876139,-0.100839457001548,-0.142890549402766,-0.00910469565268849,0.400480755241152,0.708574983146441,0.356630905267003,0.273761931709329
AIPGENE22428,0.347938222770681,0.0913367598276605,-0.0477046034633291,-0.230739586549456,-0.37245750188936,-0.263404076519824,-0.00957439046861816,0.0640417481908586,0.118297718097604,-0.06372191488027
AIPGENE22429,-0.0811340483097427,0.349162926697463,-0.0753521803161525,-0.0579141168704559,0.0579221400336241,0.0797872807860859,-0.00378070129638596,0.103598038516447,0.0601515689398874,-0.0266809251234853
AIPGENE22430,0.0861954421318291,-0.0676985118890183,-0.0501389343813066,-0.0164001644760154,-0.0239482724090424,0.206532245182076,-0.207689076582289,-0.219834896473993,0.108829445745939,-0.137812007557874
